car,price,body,mileage,engV,engType,registration,year,drive
BMW,4700,sedan,200,NA,Petrol,yes,1996,rear
BMW,19999,sedan,290,4.8,Petrol,yes,2006,rear
BMW,129222,sedan,2,5,Petrol,yes,2016,full
BMW,73900,sedan,57,4.4,Petrol,yes,2013,rear
BMW,104999,crossover,2,3,Diesel,yes,2016,full
BMW,66500,crossover,1,2,Diesel,yes,2016,full
BMW,65099,crossover,0,2,Diesel,yes,2016,full
BMW,23900,crossover,235,3,Diesel,yes,2007,full
BMW,66200,crossover,70,3,Diesel,yes,2014,full
BMW,63000,crossover,0,2,Diesel,yes,2015,full
Audi,2600,vagon,273,2.5,Diesel,no,1999,front
Audi,2850,sedan,260,NA,Other,no,1999,
Audi,37000,sedan,37,2.8,Petrol,yes,2012,full
Audi,3850,vagon,215,2.5,Diesel,no,2002,front
BMW,1900,sedan,300,2.5,Diesel,no,1997,rear
BMW,39333,sedan,6,2,Petrol,yes,2016,
BMW,63500,crossover,1,2,Diesel,yes,2016,full
BMW,59900,crossover,30,2,Diesel,yes,2016,full
Audi,3650,sedan,240,2.5,Diesel,no,2000,front
Audi,35900,crossover,143,3,Diesel,yes,2010,full
BMW,8500,sedan,260,2.2,Gas,yes,2001,rear
Audi,36000,crossover,145,3,Petrol,yes,2010,full
Audi,0,crossover,0,3,Diesel,yes,2015,full
Audi,88888,crossover,0,3,Diesel,yes,2015,full
BMW,21000,sedan,186,3,Petrol,yes,2007,rear
Hyundai,11800,sedan,65,1.4,Petrol,yes,2013,front
BMW,3900,vagon,240,3,Diesel,no,2001,rear
Hyundai,9700,sedan,54,1.4,Petrol,yes,2013,front
Hyundai,6900,crossover,105,1.6,Petrol,yes,2009,front
Audi,18500,crossover,185,3.6,Petrol,yes,2008,full
BMW,0,crossover,1,3,Diesel,yes,2014,full
BMW,0,crossover,0,3,Diesel,yes,2015,full
Audi,34000,crossover,118,2,Diesel,yes,2013,full
BMW,2850,sedan,214,1.9,Petrol,no,2000,rear
BMW,6350,crossover,156,4.4,Gas,no,2002,full
BMW,25500,other,163,4.8,Petrol,yes,2008,full
BMW,67500,crossover,1,2,Diesel,yes,2016,full
